#,model,provider,lane,region,intelligence,reasoning,api_model_id,api_id_type,release_date,date_precision,api_verified,date_source,dat_score,status,pace_exempt,notes,shakedown_items_ok,shakedown_ms
1,GPT-3.5-Turbo,openai,,Western,all-rounder,No,gpt-3.5-turbo,alias,2023-02-28,exact,yes,openai /v1/models created,76.7296,live,,,10,3946
2,Moonshot-v1-128k,moonshot,,Eastern,efficient,No,moonshot-v1-128k,alias,2024-02-01,exact,no,published announcement / dataset,74.4547,live,,,9,3196
3,Moonshot-v1-8k,moonshot,,Eastern,efficient,No,moonshot-v1-8k,alias,2024-02-01,exact,no,published announcement / dataset,74.4436,live,,,9,2413
4,GPT-4.0-Turbo,openai,,Western,all-rounder,No,gpt-4-turbo-2024-04-09,pinned,2024-04-08,exact,yes,openai /v1/models created for gpt-4-turbo-2024-04-09 (id recovered from machine_all.csv provenance),81.7663,live,,,10,3572
5,GPT-4o,openai,,Western,all-rounder,No,gpt-4o-2024-08-06,pinned,2024-08-04,exact,yes,openai /v1/models created,76.1985,live,,,10,2654
6,DeepSeek-R1,deepseek,qwen,Eastern,reasoning,Yes,deepseek-r1,alias,2025-01-20,exact,no,published announcement / dataset,76.4915,live,,"recovered: served by DashScope, not DeepSeek's own API",10,208345
7,Qwen-Turbo,qwen,,Eastern,efficient,No,qwen-turbo,alias,2025-02-01,alias_unresolved,no,bare alias qwen-turbo; only dated snapshot is 2024-11-01,71.3147,live,,,10,2292
8,o4-mini,openai,,Western,reasoning,Yes,o4-mini-2025-04-16,pinned,2025-04-08,exact,yes,openai /v1/models created,76.1374,live,,,10,54391
9,GPT-4.1,openai,,Western,all-rounder,No,gpt-4.1-2025-04-14,pinned,2025-04-10,exact,yes,openai /v1/models created,77.2014,live,,,10,1394
10,GPT-4.1-mini,openai,,Western,efficient,No,gpt-4.1-mini-2025-04-14,pinned,2025-04-10,exact,yes,openai /v1/models created,76.7683,live,,,10,3225
11,GPT-4.1-nano,openai,,Western,efficient,No,gpt-4.1-nano-2025-04-14,pinned,2025-04-10,exact,yes,openai /v1/models created,78.6453,live,,,10,7325
12,Qwen3-235B-Instruct,qwen,,Eastern,all-rounder,No,qwen3-235b-a22b-instruct-2507,pinned,2025-07-21,exact,no,published announcement / dataset,75.1348,live,,,10,2224
13,GPT-5,openai,,Western,hybrid,Yes,gpt-5-2025-08-07,pinned,2025-08-01,exact,yes,openai /v1/models created,78.8372,live,,,10,307073
14,Claude-Opus-4.1,anthropic,,Western,hybrid,Yes,claude-opus-4-1-20250805,pinned,2025-08-05,exact,yes,anthropic /v1/models created_at,84.7598,live,,,10,6507
15,GPT-5-mini,openai,,Western,efficient,No,gpt-5-mini-2025-08-07,pinned,2025-08-05,exact,yes,openai /v1/models created,75.7397,live,,,10,39799
16,Qwen-Max,qwen,,Eastern,hybrid,No,qwen-max,alias,2025-09-13,alias_unresolved,no,bare alias qwen-max; DashScope exposes no dated snapshot,75.1459,live,,,10,2485
17,Claude-Sonnet-4.5,anthropic,,Western,hybrid,No,claude-sonnet-4-5-20250929,pinned,2025-09-29,exact,yes,anthropic /v1/models created_at,80.9225,live,,,10,3151
18,Claude-Haiku-4.5,anthropic,,Western,efficient,No,claude-haiku-4-5-20251001,pinned,2025-10-15,exact,yes,anthropic /v1/models created_at,80.9580,live,,,10,5733
19,GPT-5.1,openai,,Western,hybrid,Yes,gpt-5.1-2025-11-13,pinned,2025-11-10,exact,yes,openai /v1/models created,80.8367,live,,,10,2017
20,Claude-Opus-4.5,anthropic,,Western,hybrid,Yes,claude-opus-4-5-20251101,pinned,2025-11-24,exact,yes,anthropic /v1/models created_at,79.6869,live,,,10,3101
21,DeepSeek-V3.2,deepseek,qwen,Eastern,hybrid,Yes,deepseek-v3.2,alias,2025-12-01,exact,no,published announcement / dataset,79.4027,live,,re-routed to DashScope as deepseek-v3.2 and re-verified with a live call 2026-08-03; the 0/10 shakedown predates the fix,,
22,Qwen-Plus,qwen,,Eastern,hybrid,No,qwen-plus,alias,2025-12-01,alias_unresolved,no,latest pinned snapshot qwen-plus-2025-12-01 at collection,77.8874,live,,,10,2996
23,GPT-5.2,openai,,Western,hybrid,Yes,gpt-5.2-2025-12-11,pinned,2025-12-09,exact,yes,openai /v1/models created,79.5105,live,,,10,2031
24,Qwen3-Max,qwen,,Eastern,hybrid,Yes,qwen3-max-2026-01-23,pinned,2026-01-23,exact,no,api id actually called: qwen3-max-2026-01-23 (pinned snapshot; renamed from 'Qwen4-Max' 2026-07-29 to match what answered),76.4485,live,,,10,3039
25,Kimi-K2.5,moonshot,,Eastern,all-rounder,No,kimi-k2.5,alias,2026-01-27,exact,no,zdnet.com/article/moonshot-kimi-k2-5-model + Baidu Baike (2026-01-27),79.4300,live,,,10,553653
26,MiniMax-M2.5,minimax,,Eastern,reasoning,Yes,minimax-m2.5,alias,2026-02-12,exact,no,minimax.io/blog/minimax-m25 (announcement 2026-02-12),75.5865,blocked,,HTTP 402 on the Tencent TokenHub gateway: free-trial quota exhausted mid-run on 2026-08-04 (it answered in 17s earlier the same day). Third MiniMax model to hit this — the quota is per model and the lane is emptying. Clears when postpaid billing is enabled.,10,391843
27,Qwen3.5-Plus,qwen,,Eastern,hybrid,No,qwen3.5-plus,alias,2026-02-15,exact,no,earliest pinned DashScope snapshot qwen3.5-plus-2026-02-15,72.8309,live,,"SLOW but inside the cap: 2 of 10 words hit the 300s cap, mean 149s per word (2026-08-04). Kept.",10,713254
28,Claude-Sonnet-4.6,anthropic,,Western,hybrid,No,claude-sonnet-4-6,alias,2026-02-17,exact,yes,anthropic /v1/models created_at,79.9676,live,,,10,27878
